DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	DATE_TIME	COUNT_DATE	DEPTH (m)	TOTAL_BACT (cells/ml)	COCCOID (cells/ml)	ROD (cells/ml)	FILAMENTOUS >5 µm (cells/ml)	FILE NAME	DEPTH MASL	DYE	NON-FILAMENTOUS <5µm cell/ml	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	4.5	205000	30900	171000	3330	LIMNO_BACT_ENUM_0001.csv	57.482219	Sybr Gold	201900	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	5	167000	35700	130000	951	LIMNO_BACT_ENUM_0001.csv	56.982219	Sybr Gold	165700	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	6	306000	65600	237000	3810	LIMNO_BACT_ENUM_0001.csv	55.982219	Sybr Gold	302600	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	8	141000	31400	109000	634	LIMNO_BACT_ENUM_0001.csv	53.982219	Sybr Gold	140400	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	10	79900	14700	63900	1270	LIMNO_BACT_ENUM_0001.csv	51.982219	Sybr Gold	78600	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	12	79700	18300	60100	1270	LIMNO_BACT_ENUM_0001.csv	49.982219	Sybr Gold	78400	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	13	61900	9510	51100	1270	LIMNO_BACT_ENUM_0001.csv	48.982219	Sybr Gold	60610	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	20	126000	12200	98200	16000	LIMNO_BACT_ENUM_0001.csv	41.982219	Sybr Gold	110400	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	22	91100	3040	62900	25100	LIMNO_BACT_ENUM_0001.csv	39.982219	Sybr Gold	65940	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	25	101000	5840	57100	38600	LIMNO_BACT_ENUM_0001.csv	36.982219	Sybr Gold	62940	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	30	158000	4950	98900	53700	LIMNO_BACT_ENUM_0001.csv	31.982219	Sybr Gold	103850	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	35	55800	2470	33300	20000	LIMNO_BACT_ENUM_0001.csv	26.982219	Sybr Gold	35770	
LIMNO_BACT_ENUM	EB0001L1	East Lake Bonney	BONE30	10/29/2000	00:00.0	36.5	44700	3430	20600	20700	LIMNO_BACT_ENUM_0001.csv	25.482219	Sybr Gold	24030	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	4.5	268000	28500	237000	2380	LIMNO_BACT_ENUM_0001.csv	57.424858	Sybr Gold	265500	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	5	332000	19000	311000	2380	LIMNO_BACT_ENUM_0001.csv	56.924858	Sybr Gold	330000	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	6	171000	12900	158000	381	LIMNO_BACT_ENUM_0001.csv	55.924858	Sybr Gold	170900	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	8	106000	13000	91800	1590	LIMNO_BACT_ENUM_0001.csv	53.924858	Sybr Gold	104800	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	10	133000	20900	110000	2540	LIMNO_BACT_ENUM_0001.csv	51.924858	Sybr Gold	130900	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	13	80600	13700	66900	0	LIMNO_BACT_ENUM_0001.csv	48.924858	Sybr Gold	80600	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	15	67000	11400	55000	634	LIMNO_BACT_ENUM_0001.csv	46.924858	Sybr Gold	66400	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	18	79900	9280	49500	21200	LIMNO_BACT_ENUM_0001.csv	43.924858	Sybr Gold	58780	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	20	67400	5070	36200	26100	LIMNO_BACT_ENUM_0001.csv	41.924858	Sybr Gold	41270	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	22	101000	3300	53200	44900	LIMNO_BACT_ENUM_0001.csv	39.924858	Sybr Gold	56500	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	25	51400	1140	27800	22500	LIMNO_BACT_ENUM_0001.csv	36.924858	Sybr Gold	28940	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	30	69600	2090	32900	34600	LIMNO_BACT_ENUM_0001.csv	31.924858	Sybr Gold	34990	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	35	62600	3620	21700	37300	LIMNO_BACT_ENUM_0001.csv	26.924858	Sybr Gold	25320	
LIMNO_BACT_ENUM	EB0001L2	East Lake Bonney	BONE30	11/25/2000	00:00.0	36.5	48900	1330	23400	24200	LIMNO_BACT_ENUM_0001.csv	25.424858	Sybr Gold	24730	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	4.5	108000	12400	92400	2850	LIMNO_BACT_ENUM_0001.csv	57.486189	Sybr Gold	104800	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	5	133000	21700	109000	1900	LIMNO_BACT_ENUM_0001.csv	56.986189	Sybr Gold	130700	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	6	102000	14000	87100	1040	LIMNO_BACT_ENUM_0001.csv	55.986189	Sybr Gold	101100	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	10	53700	3810	49300	571	LIMNO_BACT_ENUM_0001.csv	51.986189	Sybr Gold	53110	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	13	63800	10800	51600	1460	LIMNO_BACT_ENUM_0001.csv	48.986189	Sybr Gold	62400	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	15	59900	6720	45100	8060	LIMNO_BACT_ENUM_0001.csv	46.986189	Sybr Gold	51820	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	18	100000	4060	41400	54800	LIMNO_BACT_ENUM_0001.csv	43.986189	Sybr Gold	45460	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	20	140000	5330	50000	84500	LIMNO_BACT_ENUM_0001.csv	41.986189	Sybr Gold	55330	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	22	72300	2790	32200	37300	LIMNO_BACT_ENUM_0001.csv	39.986189	Sybr Gold	34990	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	25	85800	2790	29700	53300	LIMNO_BACT_ENUM_0001.csv	36.986189	Sybr Gold	32490	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	30	44000	1330	21500	21100	LIMNO_BACT_ENUM_0001.csv	31.986189	Sybr Gold	22830	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	35	43600	1330	26300	16000	LIMNO_BACT_ENUM_0001.csv	26.986189	Sybr Gold	27630	
LIMNO_BACT_ENUM	EB0001L3	East Lake Bonney	BONE30	12/22/2000	00:00.0	36.5	25700	692	15000	10000	LIMNO_BACT_ENUM_0001.csv	25.486189	Sybr Gold	15692	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	4.5	122000	27400	94400	381	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	121800	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	6	72800	9130	63200	507	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	72330	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	8	80200	11400	68000	761	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	79400	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	10	81400	12700	68000	761	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	80700	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	12	152000	18600	131000	1900	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	149600	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	13	79200	10900	65700	2540	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	76600	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	14	86500	6250	69100	11100	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	75350	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	15	442000	27900	377000	36800	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	404900	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	17	308000	22200	264000	21600	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	286200	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	20	146000	9990	123000	12400	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	132990	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	22	64600	10300	47200	7070	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	57500	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	25	61100	8160	51800	1090	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	59960	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	30	51900	7610	41100	3230	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	48710	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	35	26600	6280	19400	951	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	25680	
LIMNO_BACT_ENUM	WB0001L1	West Lake Bonney	BONW20	11/1/2000	00:00.0	38.5	124000	26600	92900	4190	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	119500	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	4.5	158000	22400	132000	2850	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	154400	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	5	106000	23200	81800	1140	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	105000	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	6	172000	37100	133000	1900	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	170100	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	10	120000	25100	91900	3490	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	117000	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	12	310000	40600	252000	17800	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	292600	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	13	276000	29000	233000	14300	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	262000	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	14	191000	9040	174000	8090	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	183040	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	15	113000	3810	105000	3810	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	108810	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	17	354000	27600	301000	25200	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	328600	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	20	161000	10900	134000	16200	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	144900	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	22	127000	11800	105000	9510	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	116800	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	25	63900	6280	51600	6090	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	57880	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	30	66200	8940	47200	10100	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	56140	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	35	83400	10000	63500	9830	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	73500	
LIMNO_BACT_ENUM	WB0001L2	West Lake Bonney	BONW20	11/28/2000	00:00.0	38.5	88200	10400	68000	9830	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	78400	
LIMNO_BACT_ENUM	WB0001L3	West Lake Bonney	BONW20	12/27/2000	00:00.0	5	231000	28100	199000	3810	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	227100	
LIMNO_BACT_ENUM	WB0001L3	West Lake Bonney	BONW20	12/27/2000	00:00.0	6	107000	12900	91600	2280	LIMNO_BACT_ENUM_0001.csv		Sybr Gold	104500	
