DATASET_CODE	LOCATION NAME	LOCATION CODE	LIMNO_RUN	DATE_TIME	SEASON	DEPTH (m)	CHL (ug chl-a/L)	FILE NAME	DEPTH MASL
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	35	0.266	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	30	0.705	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	25	0.315	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	22	0.044	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	20	0.064	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	18	0.319	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	39	0.153	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	13	0.997	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	12	0.981	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	10	1.154	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	8	1.737	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	6	2.099	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	4	2.832	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L1	10/27/1993	1	15	1.619	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	38	0.088	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	35	0.106	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	30	0.109	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	25	0.124	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	22	0.13	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	20	0.149	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	17	0.414	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	15	4.509	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	14	3.832	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	13	5.407	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	12	2.477	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	10	1.784	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	8	1.831	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	4	2.438	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L1	10/29/1993	1	6	2.296	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	4	1.719	HORSUMRY.XLW	70.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	6	1.394	HORSUMRY.XLW	68.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	8	1.233	HORSUMRY.XLW	66.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	10	1.264	HORSUMRY.XLW	64.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	12	2.524	HORSUMRY.XLW	62.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	25	0.823	HORSUMRY.XLW	49.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	16	1.107	HORSUMRY.XLW	58.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	18	1.493	HORSUMRY.XLW	56.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	20	1.115	HORSUMRY.XLW	54.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	22	1.028	HORSUMRY.XLW	52.04511694
LIMNO_CHL_A_DEPTH	Lake Hoare	HORLT1	HOA9394L1	11/6/1993	1	14	3.918	HORSUMRY.XLW	60.04511694
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	38	0.138	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	4	1.835	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	6	1.293	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	8	0.92	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	10	0.46	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	12	0.402	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	13	0.697	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	15	0.369	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	18	0.511	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	20	0.158	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	22	0.07	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	25	0.244	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	30	0.581	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	EB9394L2	11/10/1993	1	35	0.222	E30SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L2	11/12/1993	1	8	1.293	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L2	11/12/1993	1	10	1.248	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L2	11/12/1993	1	4	2.776	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L2	11/12/1993	1	6	2.105	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L2	11/12/1993	1	12	2.025	W20SUMRY.XLW	
LIMNO_CHL_A_DEPTH	West Lake Bonney	BONW20	WB9394L2	11/12/1993	1	13	6.447	W20SUMRY.XLW	
