DATASET_CODE	LOCATION NAME	LOCATION CODE	SEASON	LIMNO_RUN	DATE_TIME	DEPTH (m)	CHL (ug chl-a/L)	FILE NAME	DEPTH MASL
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	11	0.73	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	9	0.82	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	7	0.97	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	5	1.05	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	13	0.98	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	18	2.99	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	17	1.57	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	16	1.22	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	15	1.01	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	Lake Miers	MIELT1	20	MIE1213L2	12/12/2012	19	4.73	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	20	EB1213L2	12/15/2012	22	0.54	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	20	EB1213L2	12/15/2012	25	0.12	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	20	EB1213L2	12/15/2012	30	0.2	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	20	EB1213L2	12/15/2012	35	0.12	LIMNO_CHL_A_DEPTH_1213.csv	
LIMNO_CHL_A_DEPTH	East Lake Bonney	BONE30	20	EB1213L2	12/15/2012	20	1.22	LIMNO_CHL_A_DEPTH_1213.csv	
