DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	SEASON	DOY	DATE_TIME	DEPTH (m)	DOC (mg/L)	DOC (mM)	FILE NAME	DEPTH MASL
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	39	24	2	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	35	25	2.08	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	30	23	1.91	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	25	21	1.75	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	22	17	1.42	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	20	12	1	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	4	1.5	0.12	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	15	1.2	0.1	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	13	2.2	0.18	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	12	1.8	0.15	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	10	1.5	0.12	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	8	1.3	0.11	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	6	2	0.17	E30SUMRY.XLW	
LIMNO_DOC	EB9394L1	East Lake Bonney	BONE30	1		10/27/1993	18	7.3	0.61	E30SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	35	20	1.67	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	30	16	1.33	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	25	14	1.17	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	22	13	1.08	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	20	10	0.83	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	17	11	0.92	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	15	3	0.25	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	14	9.9	0.82	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	13	3.2	0.27	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	12	1.7	0.14	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	10	2.4	0.2	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	8	2.1	0.17	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	6	2.2	0.18	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	38	25	2.08	W20SUMRY.XLW	
LIMNO_DOC	WB9394L1	West Lake Bonney	BONW20	1		10/29/1993	4	3.5	0.29	W20SUMRY.XLW	
LIMNO_DOC	FRX9394L1	Lake Fryxell	FRXLT1	1		11/16/1993	15	20	1.67	FRXSUMRY.XLW	2.53489777
LIMNO_DOC	FRX9394L1	Lake Fryxell	FRXLT1	1		11/16/1993	17	21	1.75	FRXSUMRY.XLW	0.53489777
LIMNO_DOC	FRX9394L1	Lake Fryxell	FRXLT1	1		11/16/1993	4	4.8	0.4	FRXSUMRY.XLW	13.53489777
LIMNO_DOC	FRX9394L1	Lake Fryxell	FRXLT1	1		11/16/1993	7	5.1	0.42	FRXSUMRY.XLW	10.53489777
LIMNO_DOC	FRX9394L1	Lake Fryxell	FRXLT1	1		11/16/1993	8	6.2	0.52	FRXSUMRY.XLW	9.53489777
LIMNO_DOC	FRX9394L1	Lake Fryxell	FRXLT1	1		11/16/1993	9	8.9	0.74	FRXSUMRY.XLW	8.53489777
LIMNO_DOC	FRX9394L1	Lake Fryxell	FRXLT1	1		11/16/1993	10	9.9	0.82	FRXSUMRY.XLW	7.53489777
LIMNO_DOC	FRX9394L1	Lake Fryxell	FRXLT1	1		11/16/1993	11	14	1.17	FRXSUMRY.XLW	6.53489777
LIMNO_DOC	FRX9394L1	Lake Fryxell	FRXLT1	1		11/16/1993	12	15	1.25	FRXSUMRY.XLW	5.53489777
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	4	21	1.75	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	6	24	2	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	38	1.2	0.1	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	35	12	1	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	30	10	0.83	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	25	9.3	0.77	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	22	2	0.17	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	20	1.8	0.15	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	18	1.2	0.1	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	15	1	0.08	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	13	1.2	0.1	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	8	24	2	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	10	24	2	E30SUMRY.XLW	
LIMNO_DOC	EB9394L3	East Lake Bonney	BONE30	1		11/24/1993	12	1.5	0.12	E30SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	13	2.2	0.18	W20SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	12	2.2	0.18	W20SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	10	1.4	0.12	W20SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	8	1.4	0.12	W20SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	20	19	1.58	W20SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	4	3.8	0.32	W20SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	17	15	1.25	W20SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	15	7.1	0.59	W20SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	14	3.4	0.28	W20SUMRY.XLW	
LIMNO_DOC	WB9394L3	West Lake Bonney	BONW20	1		11/26/1993	6	1.7	0.14	W20SUMRY.XLW	
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	4	3.1	0.26	FRXSUMRY.XLW	13.53415465
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	17	21	1.75	FRXSUMRY.XLW	0.53415465
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	15	20	1.67	FRXSUMRY.XLW	2.53415465
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	12	16	1.33	FRXSUMRY.XLW	5.53415465
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	11	12	1	FRXSUMRY.XLW	6.53415465
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	10	9.9	0.82	FRXSUMRY.XLW	7.53415465
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	9	7.5	0.62	FRXSUMRY.XLW	8.53415465
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	8	4.6	0.38	FRXSUMRY.XLW	9.53415465
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	7	3.4	0.28	FRXSUMRY.XLW	10.53415465
LIMNO_DOC	FRX9394L2	Lake Fryxell	FRXLT1	1		12/7/1993	6	3	0.25	FRXSUMRY.XLW	11.53415465
LIMNO_DOC	WB9394L5	West Lake Bonney	BONW20	1		12/23/1993	4	1.4	0.12	W20SUMRY.XLW	
LIMNO_DOC	WB9394L5	West Lake Bonney	BONW20	1		12/23/1993	39	24	2	W20SUMRY.XLW	
LIMNO_DOC	WB9394L5	West Lake Bonney	BONW20	1		12/23/1993	8	1.1	0.09	W20SUMRY.XLW	
LIMNO_DOC	WB9394L5	West Lake Bonney	BONW20	1		12/23/1993	10	1.3	0.11	W20SUMRY.XLW	
LIMNO_DOC	WB9394L5	West Lake Bonney	BONW20	1		12/23/1993	12	1.7	0.14	W20SUMRY.XLW	
