DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	SEASON	DOY	DATE_TIME	DEPTH (m)	DOC (mg/L)	DOC (mM)	FILE NAME	DEPTH MASL
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	19	0.66	0.05	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	17	0.54	0.04	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	16	0.4	0.03	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	15	0.3	0.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	18	0.52	0.04	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	11	0.31	0.03	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	9	0.27	0.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	7	0.21	0.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	5	0.17	0.01	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	13	0.32	0.03	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	25	22.54	1.88	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	30	30.33	2.53	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	35	41.06	3.42	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	40.5	48.37	4.03	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	22	11.06	0.92	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	20	4.14	0.34	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	18	3.2	0.27	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	15	1.91	0.16	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	13	0.91	0.08	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	12	0.83	0.07	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	10	0.82	0.07	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	8	0.75	0.06	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	6	0.51	0.04	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	4.5	0.58	0.05	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	5	0.59	0.05	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	4			LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	41	33.5	2.79	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	6	0.26	0.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	8	0.24	0.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	10	0.47	0.04	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	12	0.61	0.05	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	13			LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	14			LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	15			LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	17	6.93	0.58	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	20			LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	22	11.09	0.92	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	25	11	0.92	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	30	14.94	1.24	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	35	19.78	1.65	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L2	West Lake Bonney	BONW20	20		12/17/2012	5			LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	18	0.54	0.04	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	17	0.34	0.03	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	16	0.24	0.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	15	0.29	0.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	19	0.79	0.07	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	11	0.24	0.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	9	0.17	0.01	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	7	0.05	0	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	5	0.16	0.01	LIMNO_DOC_1213.csv	
LIMNO_DOC	MIE1213L3	Lake Miers	MIELT1	20		1/2/2013	13	0.41	0.03	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	6	1.64	0.14	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	19.2	24.28	2.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	15	15.22	1.27	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	12	12.62	1.05	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	11	11.04	0.92	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	10	7.01	0.58	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	9	6.04	0.5	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	8	4.65	0.39	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	7	2.4	0.2	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	5	1.44	0.12	LIMNO_DOC_1213.csv	
LIMNO_DOC	FRX1213L3	Lake Fryxell	FRXLT1	20		1/3/2013	4.5	0.71	0.06	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	10	0.6	0.05	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	22	4.76	0.4	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	6	0.54	0.04	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	5	0.38	0.03	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	12	0.67	0.06	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	13	0.65	0.05	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	15			LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	20	5.35	0.45	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	18			LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	4.5	0.48	0.04	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	40.5	20.26	1.69	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	35	30.67	2.55	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	30	32.99	2.75	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	25	23.33	1.94	LIMNO_DOC_1213.csv	
LIMNO_DOC	EB1213L3	East Lake Bonney	BONE30	20		1/4/2013	8	0.67	0.06	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	17	7.35	0.61	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	20	7.07	0.59	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	22	11.12	0.93	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	25	12.83	1.07	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	30	14.13	1.18	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	35	19.53	1.63	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	41	26.8	2.23	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	4	0.13	0.01	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	5	0.21	0.02	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	6	0.44	0.04	LIMNO_DOC_1213.csv	
LIMNO_DOC	WB1213L3	West Lake Bonney	BONW20	20		1/5/2013	8	0.65	0.05	LIMNO_DOC_1213.csv	
