DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	SEASON	DATE_TIME	DEPTH (m)	PPR (ug C/L*d)	FILE NAME	DEPTH MASL
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	4	2.41	E30SUMRY.XLW	
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	6	1.82	E30SUMRY.XLW	
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	8	2.39	E30SUMRY.XLW	
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	10	1.13	E30SUMRY.XLW	
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	12	0.62	E30SUMRY.XLW	
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	13	0.95	E30SUMRY.XLW	
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	15	3.93	E30SUMRY.XLW	
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	18	0.21	E30SUMRY.XLW	
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	20	0.05	E30SUMRY.XLW	
LIMNO_PPR	EB9394L1	East Lake Bonney	BONE30	1	10/27/1993	22	0.03	E30SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	4	2.39	W20SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	6	2.7	W20SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	8	2.89	W20SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	10	2.67	W20SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	12	3	W20SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	13	5.36	W20SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	14	4.4	W20SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	15	3	W20SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	17	0.13	W20SUMRY.XLW	
LIMNO_PPR	WB9394L1	West Lake Bonney	BONW20	1	10/29/1993	20	0.02	W20SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	4	1.23	E30SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	6	1.97	E30SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	8	1.66	E30SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	10	1.69	E30SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	12	1.18	E30SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	13	0.85	E30SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	15	0.77	E30SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	18	1	E30SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	20	0.03	E30SUMRY.XLW	
LIMNO_PPR	EB9394L2	East Lake Bonney	BONE30	1	11/10/1993	22	0	E30SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	4	1.47	W20SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	6	1.18	W20SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	8	1.17	W20SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	10	1.07	W20SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	12	1.41	W20SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	13	4.29	W20SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	14	3.42	W20SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	15	0.76	W20SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	17	0.06	W20SUMRY.XLW	
LIMNO_PPR	WB9394L2	West Lake Bonney	BONW20	1	11/12/1993	20	0	W20SUMRY.XLW	
LIMNO_PPR	FRX9394L1	Lake Fryxell	FRXLT1	1	11/16/1993	4	0.41	FRXSUMRY.XLW	13.53489777
LIMNO_PPR	FRX9394L1	Lake Fryxell	FRXLT1	1	11/16/1993	6	1.1	FRXSUMRY.XLW	11.53489777
LIMNO_PPR	FRX9394L1	Lake Fryxell	FRXLT1	1	11/16/1993	7	1.17	FRXSUMRY.XLW	10.53489777
LIMNO_PPR	FRX9394L1	Lake Fryxell	FRXLT1	1	11/16/1993	8	4.89	FRXSUMRY.XLW	9.53489777
LIMNO_PPR	FRX9394L1	Lake Fryxell	FRXLT1	1	11/16/1993	9	12.91	FRXSUMRY.XLW	8.53489777
LIMNO_PPR	FRX9394L1	Lake Fryxell	FRXLT1	1	11/16/1993	10	3.65	FRXSUMRY.XLW	7.53489777
LIMNO_PPR	FRX9394L1	Lake Fryxell	FRXLT1	1	11/16/1993	11	0.71	FRXSUMRY.XLW	6.53489777
LIMNO_PPR	FRX9394L1	Lake Fryxell	FRXLT1	1	11/16/1993	12	0.03	FRXSUMRY.XLW	5.53489777
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	4	2.51	E30SUMRY.XLW	
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	6	1.63	E30SUMRY.XLW	
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	8	1.45	E30SUMRY.XLW	
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	10	1.28	E30SUMRY.XLW	
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	12	1.58	E30SUMRY.XLW	
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	13	1.58	E30SUMRY.XLW	
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	15	1.16	E30SUMRY.XLW	
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	18	0.88	E30SUMRY.XLW	
