DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	SEASON	DATE_TIME	DEPTH (m)	PPR (ug C/L*d)	FILE NAME	DEPTH MASL
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	5	0.89	LIMNO_PPR_1213.csv	
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	7	0.68	LIMNO_PPR_1213.csv	
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	9	0.68	LIMNO_PPR_1213.csv	
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	11	0.79	LIMNO_PPR_1213.csv	
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	19	0.62	LIMNO_PPR_1213.csv	
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	15	0.76	LIMNO_PPR_1213.csv	
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	16	0.73	LIMNO_PPR_1213.csv	
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	17	1.32	LIMNO_PPR_1213.csv	
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	18	1.02	LIMNO_PPR_1213.csv	
LIMNO_PPR	MIE1213L2	Lake Miers	MIELT1	20	12/12/2012	13	0.83	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	22	0.27	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	20	0.47	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	18	0.73	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	15	1.77	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	13	0.6	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	12	0.52	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	10	0.63	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	8	0.38	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	6	0.67	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	4.5	1.36	LIMNO_PPR_1213.csv	
LIMNO_PPR	EB1213L2	East Lake Bonney	BONE30	20	12/15/2012	5	0.96	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	17	0.34	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	15	2.43	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	14	1.66	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	13	1.3	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	12	1.19	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	20	0.22	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	8	0.96	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	6	1.44	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	5	2.21	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	4	4.74	LIMNO_PPR_1213.csv	
LIMNO_PPR	WB1213L2	West Lake Bonney	BONW20	20	12/17/2012	10	0.76	LIMNO_PPR_1213.csv	
LIMNO_PPR	FRX1314L1	Lake Fryxell	FRXLT1	21	11/15/2013	12	0	LIMNO_PPR_1314.csv	
LIMNO_PPR	FRX1314L1	Lake Fryxell	FRXLT1	21	11/15/2013	11	0.15	LIMNO_PPR_1314.csv	
LIMNO_PPR	FRX1314L1	Lake Fryxell	FRXLT1	21	11/15/2013	10	0.18	LIMNO_PPR_1314.csv	
LIMNO_PPR	FRX1314L1	Lake Fryxell	FRXLT1	21	11/15/2013	9	0.76	LIMNO_PPR_1314.csv	
LIMNO_PPR	FRX1314L1	Lake Fryxell	FRXLT1	21	11/15/2013	8	1.32	LIMNO_PPR_1314.csv	
LIMNO_PPR	FRX1314L1	Lake Fryxell	FRXLT1	21	11/15/2013	7	1.94	LIMNO_PPR_1314.csv	
LIMNO_PPR	FRX1314L1	Lake Fryxell	FRXLT1	21	11/15/2013	6	2.77	LIMNO_PPR_1314.csv	
LIMNO_PPR	FRX1314L1	Lake Fryxell	FRXLT1	21	11/15/2013	5	4.45	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	15	2.34	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	17	0	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	20	0.51	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	4	1.3	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	14	1.97	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	5	1.5	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	12	1.64	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	10	1.64	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	8	1.47	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	6	1.97	LIMNO_PPR_1314.csv	
LIMNO_PPR	WB1314L1	West Lake Bonney	BONW20	21	11/20/2013	13	2.03	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	4.5	1.06	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	5	1.05	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	6	1.06	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	8	0.94	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	10	0.85	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	12	0.71	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	13	0.74	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	15	1.23	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	18	0.48	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	20	0.19	LIMNO_PPR_1314.csv	
LIMNO_PPR	EB1314L1	East Lake Bonney	BONE30	21	11/23/2013	22	0.07	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	5	4.74	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	7	3.64	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	9	3.36	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	11	4.51	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	19	1.31	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	15	3.16	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	16	2.76	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	17	3.09	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	18	2.47	LIMNO_PPR_1314.csv	
LIMNO_PPR	MIE1314L1	Lake Miers	MIELT1	21	11/28/2013	13	4.51	LIMNO_PPR_1314.csv	
