studyName,Event Number,Year,Datetime GMT,Grid Line Intended,Grid Station Intended,Station Name,Bottle Number,Depth (m),DOC (µmol/L),Notes
LMG03-01,7,2003,1/6/2003 0:53,600,40,,1,1000,45.84,
LMG03-01,7,2003,1/6/2003 0:53,600,40,,3,600,37.18,
LMG03-01,7,2003,1/6/2003 0:53,600,40,,5,300,43.19,
LMG03-01,7,2003,1/6/2003 0:53,600,40,,7,100,44.57,
LMG03-01,7,2003,1/6/2003 0:53,600,40,,11,46.5,45.96,
LMG03-01,7,2003,1/6/2003 0:53,600,40,,15,19,44.46,
LMG03-01,7,2003,1/6/2003 0:53,600,40,,17,10,43.39,
LMG03-01,7,2003,1/6/2003 0:53,600,40,,21,0,44.25,
LMG03-01,7,2003,1/6/2003 0:53,600,40,,23,0,-999,
LMG03-01,16,2003,1/6/2003 13:30,,,Pal B,13,43,45.78,
LMG03-01,16,2003,1/6/2003 13:30,,,Pal B,1,0,42.52,
LMG03-01,18,2003,1/6/2003 15:06,,,PalmerE,1,200,43.84,
LMG03-01,18,2003,1/6/2003 15:06,,,PalmerE,3,46,47.35,
LMG03-01,18,2003,1/6/2003 15:06,,,PalmerE,13,0,42.74,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,1,500,39.34,
LMG03-01,23,2003,1/6/2003 18:38,600,60,,1,200,43.25,
LMG03-01,23,2003,1/6/2003 18:38,600,60,,5,150,43.68,
LMG03-01,23,2003,1/6/2003 18:38,600,60,,7,100,43.39,
LMG03-01,32,2003,1/6/2003 23:59,600,60,,3,100,39.32,
LMG03-01,23,2003,1/6/2003 18:38,600,60,,13,53,41.33,
LMG03-01,23,2003,1/6/2003 18:38,600,60,,15,22,41.54,
LMG03-01,23,2003,1/6/2003 18:38,600,60,,23,0,42.43,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,1,500,-999,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,5,300,38.94,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,7,200,39.34,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,9,100,39.84,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,11,76,39.51,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,13,62,41.8,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,15,31,52.34,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,17,20,41.35,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,19,11,43.12,
LMG03-01,32,2003,1/6/2003 23:59,600,80,,23,0,44.29,
LMG03-01,46,2003,1/7/2003 8:00,600,100,,1,600,39.56,
LMG03-01,46,2003,1/7/2003 8:00,600,100,,5,300,37.81,
LMG03-01,46,2003,1/7/2003 8:00,600,100,,7,200,36.73,
LMG03-01,46,2003,1/7/2003 8:00,600,100,,9,100,38.97,
LMG03-01,46,2003,1/7/2003 8:00,600,100,,13,62,38.34,
LMG03-01,46,2003,1/7/2003 8:00,600,100,,14,19,42.88,
LMG03-01,46,2003,1/7/2003 8:00,600,100,,23,0,43.58,
LMG03-01,53,2003,1/7/2003 14:07,600,60,,1,200,39.65,
LMG03-01,53,2003,1/7/2003 14:07,600,60,,15,16,40.12,
LMG03-01,53,2003,1/7/2003 14:07,600,60,,23,0,46.55,
LMG03-01,73,2003,1/8/2003 13:47,600,120,,1,500,39.09,
LMG03-01,73,2003,1/8/2003 13:47,600,120,,7,200,41.26,
LMG03-01,73,2003,1/8/2003 13:47,600,120,,9,100,39.3,
LMG03-01,73,2003,1/8/2003 13:47,600,120,,11,73,38.9,
LMG03-01,73,2003,1/8/2003 13:47,600,120,,13,59,41.47,
LMG03-01,73,2003,1/8/2003 13:47,600,120,,15,30,43.23,
LMG03-01,73,2003,1/8/2003 13:47,600,120,,19,11,42.81,
LMG03-01,73,2003,1/8/2003 13:47,600,120,,23,0,44.83,
LMG03-01,83,2003,1/8/2003 18:02,600,140,,1,315,37.42,
LMG03-01,83,2003,1/8/2003 18:02,600,140,,5,200,441.16,
LMG03-01,83,2003,1/8/2003 18:02,600,140,,7,150,37.96,
LMG03-01,83,2003,1/8/2003 18:02,600,140,,9,100,39.96,
LMG03-01,83,2003,1/8/2003 18:02,600,140,,13,67,-999,
LMG03-01,83,2003,1/8/2003 18:02,600,140,,15,39,37.41,
LMG03-01,83,2003,1/8/2003 18:02,600,140,,19,14,38.78,
LMG03-01,83,2003,1/8/2003 18:02,600,140,,23,0,40.59,
LMG03-01,93,2003,1/8/2003 23:11,600,160,,1,410,37.68,
LMG03-01,93,2003,1/8/2003 23:11,600,160,,5,200,39.63,
LMG03-01,93,2003,1/8/2003 23:11,600,160,,7,150,41.55,
LMG03-01,93,2003,1/8/2003 23:11,600,160,,9,100,42.36,
LMG03-01,93,2003,1/8/2003 23:11,600,160,,13,71,41.47,
LMG03-01,93,2003,1/8/2003 23:11,600,160,,15,44,42.56,
LMG03-01,93,2003,1/8/2003 23:11,600,160,,17,32,-999,
LMG03-01,93,2003,1/8/2003 23:11,600,160,,19,16,43.07,
LMG03-01,93,2003,1/8/2003 23:11,600,160,,23,0,43.3,
LMG03-01,106,2003,1/9/2003 8:44,600,180,,1,1780,40.54,
